"","축제명","축제시작일자","축제종료일자","주소","LON","LAT","gigan","bigo","mm","yy","day_week"
"300","갑사황매화 축제",2019-04-26,2019-04-28,"충청남도",36.36607692,127.1864443,3,"50일미만",4,2019,"금"
"301","공주항공축제",2019-05-04,2019-05-06,"충청남도",36.51052026,127.1258208,3,"50일미만",5,2019,"토"
"302","공주 금강여름축제",2019-07-26,2019-07-28,"충청남도",36.55728753,127.0183843,3,"50일미만",7,2019,"금"
"303","제65회 백제문화제",2019-09-28,2019-10-06,"충청남도",36.46891899,127.1271045,9,"50일미만",9,2019,"토"
"304","태강릉 문화제",2019-04-20,2019-04-20,"서울특별시",37.624881,127.093038,1,"1일",4,2019,"토"
"307","2019 군포철쭉축제",2019-04-24,2019-04-28,"경기도",37.3548052,126.9225521,5,"50일미만",4,2019,"수"
"308","춘장대해수욕장 여름문화예술축제",2019-08-02,2019-08-03,"충청남도",36.16334922,126.5243355,2,"50일미만",8,2019,"금"
"309","자연산 광어.도미 축제",2019-05-11,2019-05-26,"충청남도",36.1293642,126.5036472,16,"50일미만",5,2019,"토"
"310","동백꽃 주꾸미 축제",2019-03-16,2019-03-31,"충청남도",36.12939436,126.5036155,16,"50일미만",3,2019,"토"
"311","마량포 해넘이.해돋이 축제",2019-12-31,2020-01-01,"충청남도",36.1293642,126.5036472,2,"50일미만",12,2019,"화"
"312","홍원항 자연산 전어.꽃게 축제",2019-09-21,2019-10-06,"충청남도",36.15886,126.4992204,16,"50일미만",9,2019,"토"
"313","한산모시문화제",2019-06-07,2019-06-10,"충청남도",36.0799445,126.7987047,4,"50일미만",6,2019,"금"
"314","파주북소리2019",2019-11-02,2019-11-06,"경기도",37.70848286,126.6867921,5,"50일미만",11,2019,"토"
"315","제32회 율곡문화제",2019-10-12,2019-10-13,"경기도",37.86497423,126.8696173,2,"50일미만",10,2019,"토"
"316","제15회 파주개성인삼축제",2019-10-19,2019-10-20,"경기도",37.8893177,126.7400657,2,"50일미만",10,2019,"토"
"317","제23회 파주장단콩축제",2019-11-22,2019-11-24,"경기도",37.8893177,126.7400657,3,"50일미만",11,2019,"금"
"319","우륵문화제",2019-09-26,2019-09-29,"충청북도",36.970076,127.9360876,4,"50일미만",9,2019,"목"
"320","지리산 바래봉 눈꽃축제",2018-12-29,2019-02-10,"전라북도",35.4350897,127.5486175,44,"50일미만",12,2018,"토"
"321","제31회 지리산 뱀사골 고로쇠 약수제",2019-03-02,2019-03-02,"전라북도",35.3769935,127.581604,1,"1일",3,2019,"토"
"322","제89회 춘향제",2019-05-08,2019-05-12,"전라북도",35.40412922,127.3805045,5,"50일미만",5,2019,"수"
"323","제25회 지리산 바래봉 철쭉제",2019-05-04,2019-05-04,"전라북도",35.4350897,127.5486175,1,"1일",5,2019,"토"
"324","제24회 봉화산 철쭉제",2019-05-04,2019-05-04,"전라북도",35.52407924,127.576659,1,"1일",5,2019,"토"
"325","흥부제",2019-10-11,2019-10-13,"전라북도",35.40294891,127.3866197,3,"50일미만",10,2019,"금"
"326","지리산 뱀사골 단풍제",2019-10-15,2019-10-30,"전라북도",35.37179793,127.579137,16,"50일미만",10,2019,"화"
"327","고창모양성제",2019-10-03,2019-10-07,"전라북도",35.43534518,126.7066502,5,"50일미만",10,2019,"목"
"328","고창청보리밭축제",2019-04-20,2019-05-12,"전라북도",35.37610584,126.543619,23,"50일미만",4,2019,"토"
"329","동학농민혁명 무장기포기념제",2019-04-25,2019-04-25,"전라북도",35.4037328,126.4955322,1,"1일",4,2019,"목"
"330","고창복분자와수박축제",2019-06-21,2019-06-23,"전라북도",35.49723407,126.578159,3,"50일미만",6,2019,"금"
"331","고창갯벌축제",2019-06-07,2019-06-09,"전라북도",35.53007446,126.5150432,3,"50일미만",6,2019,"금"
"332","무장읍성축제",2019-05-14,2019-05-14,"전라북도",35.41841778,126.5573463,1,"1일",5,2019,"화"
"333","고창해풍고추축제",2019-08-23,2019-08-25,"전라북도",35.46113146,126.5377985,3,"50일미만",8,2019,"금"
"334","2019 대한민국 온천대축제",2019-10-02,2019-10-06,"전라북도",35.43119627,126.7383544,5,"50일미만",10,2019,"수"
"335","제13회 신성한마음축제",2019-08-10,2019-08-10,"대전광역시",36.38422742,127.357276,1,"1일",8,2019,"토"
"336","제17회 한여름밤의 축제",2019-08-24,2019-08-24,"대전광역시",36.3985684,127.4053327,1,"1일",8,2019,"토"
"341","제9회 관평골축제",2019-10-11,2019-10-11,"대전광역시",36.4243927,127.3940968,1,"1일",10,2019,"금"
"342","제14회 구즉한마당축제",2019-10-12,2019-10-12,"대전광역시",36.43500958,127.3841005,1,"1일",10,2019,"토"
"343","제21회 진잠주민화합한마당",2019-10-19,2019-10-19,"대전광역시",36.29952727,127.3150867,1,"1일",10,2019,"토"
