"","축제명","축제시작일자","축제종료일자","주소","LON","LAT","gigan","bigo","mm","yy","day_week"
"480","2019년 제15회 해운대모래축제",2019-05-24,2019-05-27,"부산광역시",35.1583123,129.1577913,4,"50일미만",5,2019,"금"
"481","제14회 부산국제매직페스티벌",2019-06-25,2019-06-30,"부산광역시",35.1583123,129.1577913,6,"50일미만",6,2019,"화"
"482","제14회 부산국제어린이청소년영화제",2019-07-09,2019-07-15,"부산광역시",35.17103803,129.1270863,7,"50일미만",7,2019,"화"
"483","제24회 부산바다축제",2019-08-02,2019-08-06,"부산광역시",35.1583123,129.1577913,5,"50일미만",8,2019,"금"
"484","제24회 송정해변축제",2019-08-02,2019-08-03,"부산광역시",35.17944126,129.1996527,2,"50일미만",8,2019,"금"
"485","제24회 부산국제영화제",2019-10-03,2019-10-12,"부산광역시",35.17103803,129.1270863,10,"50일미만",10,2019,"목"
"486","제15회 부산세계불꽃축제",2019-11-02,2019-11-02,"부산광역시",35.1583123,129.1577913,1,"1일",11,2019,"토"
"487","2020 울산 마두희 축제",2020-06-26,2020-06-28,"울산광역시",35.55579158,129.324233,3,"50일미만",6,2020,"금"
"488","2020년 한글문화예술제",2020-10-09,2020-10-11,"울산광역시",35.57475705,129.3474699,3,"50일미만",10,2020,"금"
"489","2020 문화의거리 현대미술제",2020-04-25,2020-05-03,"울산광역시",35.55487016,129.3217365,9,"50일미만",4,2020,"토"
"490","2020년 울산병영3.1만세운동 제21회 재현행사",2020-04-05,2020-04-06,"울산광역시",35.56924534,129.34659,2,"50일미만",4,2020,"일"
"491","제51회 서덕출 봄편지 노래비 글쓰기 및 그리기대회",2020-05-20,2020-05-20,"울산광역시",35.5608219,129.3242945,1,"1일",5,2020,"수"
"492","2020 태화강 국제 재즈페스티벌",2020-05-16,2020-05-17,"울산광역시",35.55007837,129.2990793,2,"50일미만",5,2020,"토"
"493","보성다향대축제",2019-05-02,2019-05-06,"전라남도",34.719805,127.081709,5,"50일미만",5,2019,"목"
"494","서편제보성소리축제",2019-05-03,2019-05-05,"전라남도",34.770217,127.079036,3,"50일미만",5,2019,"금"
"495","보성차밭 빛축제",2018-12-14,2019-01-13,"전라남도",34.71983,127.081709,31,"50일미만",12,2018,"금"
"496","벌교꼬막축제",2018-11-02,2018-11-04,"전라남도",34.84476516,127.3464624,3,"50일미만",11,2018,"금"
"497","보성벚꽃축제",2019-04-06,2019-04-06,"전라남도",34.966935,127.1600659,1,"1일",4,2019,"토"
"498","보성전어축제",2018-08-31,2018-09-02,"전라남도",34.6700298,127.0890226,3,"50일미만",8,2018,"금"
"499","부안마실축제",2019-05-04,2019-05-06,"전라북도",35.71882124,126.7286953,3,"50일미만",5,2019,"토"
"500","곰소젓갈발효축제",2018-09-14,2018-09-16,"전라북도",35.58746134,126.6126718,3,"50일미만",9,2018,"금"
"501","개암동벚꽃축제",2019-04-06,2019-04-07,"전라북도",35.66039032,126.6531154,2,"50일미만",4,2019,"토"
"502","자라섬 국제재즈페스티벌",2019-10-04,2019-10-06,"경기도",37.8209476,127.5208644,3,"50일미만",10,2019,"금"
"503","암산얼음축제",2020-01-18,2020-01-26,"경상북도",36.50643143,128.6787973,9,"50일미만",1,2020,"토"
"504","안동봄꽃축제",2020-04-03,2020-04-12,"경상북도",36.5606618,128.7322556,10,"50일미만",4,2020,"금"
"505","안동민속축제",2020-09-25,2020-10-04,"경상북도",36.5662343,128.7342615,10,"50일미만",9,2020,"금"
"506","안동국제탈춤축제",2020-09-25,2020-10-04,"경상북도",36.5606948,128.7322556,10,"50일미만",9,2020,"금"
"507","제5회 나주마한문화축제",2019-10-11,2019-10-13,"전라남도",34.91485483,126.6589031,3,"50일미만",10,2019,"금"
"508","제15회 영산포 홍어축제",2019-04-12,2019-04-14,"전라남도",34.9996615,126.7140301,3,"50일미만",4,2019,"금"
"509","제1회 천년나주목읍성문화축제",2019-05-03,2019-05-05,"전라남도",35.0328694,126.7166816,3,"50일미만",5,2019,"금"
"510","제5회 오산천 두바퀴 축제",2019-04-20,2019-04-20,"경기도",37.16022346,127.0770823,1,"1일",4,2019,"토"
"511","제7회 오산 봄누리 예술축제",2019-05-11,2019-05-11,"경기도",37.17081808,127.045809,1,"1일",5,2019,"토"
"512","제31회 시민의 날 문화행사",2019-09-20,2019-09-20,"경기도",37.158565,127.073451,1,"1일",9,2019,"금"
"513","제10회 독산성 문화제",2019-10-11,2019-10-13,"경기도",37.16022346,127.0770823,3,"50일미만",10,2019,"금"
"514","2019 가을 종합예술제",2019-10-04,2019-11-17,"경기도",37.16022346,127.077061,45,"50일미만",10,2019,"금"
"517","완주와일드푸드축제",2019-09-27,2019-09-29,"전라북도",35.97398096,127.2315514,3,"50일미만",9,2019,"금"
"518","완주 프러포즈축제",2019-05-25,2019-05-26,"전라북도",35.72770656,127.1069229,2,"50일미만",5,2019,"토"
"519","왜목해돋이축제",2017-12-31,2018-01-01,"충청남도",37.044702,126.527283,2,"50일미만",12,2017,"일"
"520","기지시줄다리기 민속축제",2018-04-12,2018-04-15,"충청남도",36.896475,126.694732,4,"50일미만",4,2018,"목"
"521","장고항 실치축제",2018-04-28,2018-04-29,"충청남도",37.031566,126.559482,2,"50일미만",4,2018,"토"
"522","한진포구 바지락 갯벌체험축제",2018-05-18,2018-05-20,"충청남도",36.971154,126.782501,3,"50일미만",5,2018,"금"
"523","해나루 황토감자축제",2018-06-23,2018-06-23,"충청남도",36.959232,126.769345,1,"1일",6,2018,"토"
"524","면천 진달래축제",2018-04-07,2018-04-08,"충청남도",36.817454,126.666993,2,"50일미만",4,2018,"토"
"525","8.15. 프란치스코 데이",2018-08-14,2018-08-15,"충청남도",36.819209,126.785502,2,"50일미만",8,2018,"화"
"526","심훈상록문화제",2018-10-12,2018-10-14,"충청남도",36.889754,126.646949,3,"50일미만",10,2018,"금"
"527","삽교호조개구이 축제",2018-09-22,2018-09-22,"충청남도",36.889945,126.645798,1,"1일",9,2018,"토"
"528","남이흥장군 문화제",2018-10-28,2018-10-28,"충청남도",36.924978,126.529455,1,"1일",10,2018,"일"
"529","농악대축제",2016-10-22,2016-10-23,"경기도",37.4620073,126.8714551,2,"50일미만",10,2016,"토"
"530","농악대축제",2015-10-17,2015-10-18,"경기도",37.4620073,126.8714551,2,"50일미만",10,2015,"토"
"531","구름산예술제",2015-10-17,2015-10-18,"경기도",37.4776304,126.8646268,2,"50일미만",10,2015,"토"
"532","제14회 광명시평생학습축제",2015-09-07,2015-09-20,"경기도",37.4743772,126.8684796,14,"50일미만",9,2015,"월"
"533","제2회 밤일음식문화 거리 축제",2016-06-10,2016-06-10,"경기도",37.453842,126.860748,1,"1일",6,2016,"금"
"534","구름산예술제",2016-10-22,2016-10-23,"경기도",37.4776304,126.8646269,2,"50일미만",10,2016,"토"
"535","제16회 광명시평생학습축제",2017-09-09,2017-09-23,"경기도",37.474331,126.868457,15,"50일미만",9,2017,"토"
"536","제26회 오리문화제",2017-05-18,2017-05-20,"경기도",37.463301,126.870701,3,"50일미만",5,2017,"목"
"537","구름산예술제",2017-09-23,2017-09-24,"경기도",37.4782254,126.8645715,2,"50일미만",9,2017,"토"
"538","농악대축제",2017-10-20,2017-10-22,"경기도",37.462779,126.8709525,3,"50일미만",10,2017,"금"
"539","소하도서관 책축제 팔짱, 책을 품다",2016-04-15,2016-04-15,"경기도",37.4444649,126.8918147,1,"1일",4,2016,"금"
"540","농악대축제",2018-10-27,2018-10-28,"경기도",37.4782254,126.8645715,2,"50일미만",10,2018,"토"
"541","구름산예술제",2018-08-31,2018-09-02,"경기도",37.462779,126.8709525,3,"50일미만",8,2018,"금"
"542","제7회 목감천 친환경 축제",2019-05-25,2019-05-25,"경기도",37.4710361,126.8486332,1,"1일",5,2019,"토"
"543","평생학습도시 선언 20주년 컨퍼런스",2019-11-01,2019-11-01,"경기도",37.4743772,126.8684796,1,"1일",11,2019,"금"
"544","문경찻사발축제",2019-04-27,2019-05-06,"경상북도",36.74144625,128.0838026,10,"50일미만",4,2019,"토"
"545","문경약돌한우축제",2018-11-03,2018-11-04,"경상북도",36.76160207,128.0769905,2,"50일미만",11,2018,"토"
"547","문경사과축제",2019-10-12,2019-10-27,"경상북도",36.76160207,128.0769905,16,"50일미만",10,2019,"토"
"548","2019 시흥 에코콘텐츠 창작 페스티벌",2019-12-06,2019-12-07,"경기도",37.45019708,126.7848655,2,"50일미만",12,2019,"금"
"549","제2회 정왕「본」축제",2019-11-02,2019-11-02,"경기도",37.34736202,126.7518114,1,"1일",11,2019,"토"
"550","장보고수산물축제",2019-05-03,2019-05-06,"전라남도",34.31744706,126.7527592,4,"50일미만",5,2019,"금"
"551","청산도슬로우걷기축제",2019-04-06,2019-05-06,"전라남도",34.17971074,126.8577891,31,"50일미만",4,2019,"토"
"552","청정완도 가을빛 여행",2018-10-19,2018-10-21,"전라남도",34.31744706,126.7527592,3,"50일미만",10,2018,"금"
"553","논산딸기축제",2019-03-20,2019-03-24,"충청남도",36.20922889,127.0819661,5,"50일미만",3,2019,"수"
"554","논산대둔산철쭉제",2019-04-26,2019-05-05,"충청남도",36.15468452,127.3091766,10,"50일미만",4,2019,"금"
"555","상월명품고구마축제",2019-08-31,2019-09-01,"충청남도",36.30682479,127.1897138,2,"50일미만",8,2019,"토"
"556","양촌곶감축제",2019-12-14,2019-12-15,"충청남도",36.12951533,127.2471957,2,"50일미만",12,2019,"토"
"557","연산백중놀이",2019-08-30,2019-08-30,"충청남도",36.21626789,127.216075,1,"1일",8,2019,"금"
"558","효문화뿌리축제",2019-09-27,2019-09-29,"대전광역시",36.2859869,127.3836984,3,"50일미만",9,2019,"금"
"559","강동선사문화축제",2019-10-11,2019-10-13,"서울특별시",37.55985381,127.1308316,3,"50일미만",10,2019,"금"
"560","홍성역사인물축제",2019-09-27,2019-09-29,"충청남도",36.6017196,126.6613896,3,"50일미만",9,2019,"금"
"562","광천토굴새우젓광천김축제",2018-10-11,2018-10-14,"충청남도",36.50093278,126.6243742,4,"50일미만",10,2018,"목"
"564","익산서동축제",2019-05-10,2019-05-12,"전라북도",36.00039758,127.05943,3,"50일미만",5,2019,"금"
"565","천만송이 국화축제",2019-10-25,2019-11-03,"전라북도",35.94972951,126.9861274,10,"50일미만",10,2019,"금"
"566","보석대축제",2019-04-05,2019-04-14,"전라북도",35.99061351,127.102548,10,"50일미만",4,2019,"금"
"567","거창크리스마스트리문화축제",2019-12-01,2020-01-27,"경상남도",35.68667718,127.9095338,58,"50일이상",12,2019,"일"
"570","생거진천 문화축제",2019-10-04,2019-10-06,"충청북도",36.86152209,127.4420392,3,"50일미만",10,2019,"금"
"578","우륵문화제",2019-09-26,2019-09-29,"충청북도",36.970076,127.9360876,4,"50일미만",9,2019,"목"
"579","청풍호벚꽃축제",2019-04-06,2019-04-08,"충청북도",37.14868519,128.2168544,3,"50일미만",4,2019,"토"
"580","제천국제음악영화제",2019-08-08,2019-08-13,"충청북도",37.14868519,128.2168544,6,"50일미만",8,2019,"목"
"581","제천의병제",2018-10-19,2018-10-20,"충청북도",37.14868519,128.2168544,2,"50일미만",10,2018,"금"
"582","겨울왕국 제천페스티벌",2019-12-21,2020-01-27,"충청북도",37.14868519,128.2168544,38,"50일미만",12,2019,"토"
"588","제13회 영동포도축제",2019-08-29,2019-09-01,"충청북도",36.16401536,127.7819752,4,"50일미만",8,2019,"목"
"592","들노래축제",2019-06-15,2019-06-16,"충청북도",36.7638867,127.5955697,2,"50일미만",6,2019,"토"
"593","인삼골축제",2019-10-03,2019-10-06,"충청북도",36.78732622,127.5728115,4,"50일미만",10,2019,"목"
"594","생거진천 문화축제",2019-10-04,2019-10-06,"충청북도",36.86152209,127.4420392,3,"50일미만",10,2019,"금"
"602","음성품바축제",2019-05-22,2019-05-26,"충청북도",36.93152313,127.6806296,5,"50일미만",5,2019,"수"
"603","설성문화제",2019-08-28,2019-08-31,"충청북도",36.93427623,127.6906949,4,"50일미만",8,2019,"수"
"606","제17회 고양 연등문화축제",2019-05-01,2019-05-01,"경기도",37.63173966,126.832994,1,"1일",5,2019,"수"
"607","신바람난 뮤지엄 페스티벌",2019-05-04,2019-05-05,"경기도",37.62946909,126.8309509,2,"50일미만",5,2019,"토"
"608","노루목 봄 페스티벌 <ㅍㅍㅍ페스티벌>",2019-05-25,2019-05-26,"경기도",37.66148641,126.7744561,2,"50일미만",5,2019,"토"
"609","2019 고양행주문화제",2019-05-25,2019-05-26,"경기도",37.59564085,126.8268514,2,"50일미만",5,2019,"토"
"610","2019 고양호수예술축제",2019-10-03,2019-10-06,"경기도",37.65384593,126.7687814,4,"50일미만",10,2019,"목"
"611","울산조선해양축제",2019-07-19,2019-07-21,"울산광역시",35.505086,129.416646,3,"50일미만",7,2019,"금"
"612","고싸움놀이축제(1차)",2019-03-30,2019-03-31,"광주광역시",35.0692176,126.8359599,2,"50일미만",3,2019,"토"
"613","고싸움놀이축제(2차)",2019-08-11,2019-08-11,"광주광역시",35.0692176,126.8359599,1,"1일",8,2019,"일"
"614","서창만드리풍년제",2019-07-19,2019-07-19,"광주광역시",35.115286,126.830168,1,"1일",7,2019,"금"
"615","광주프린지페스티벌",2019-04-20,2019-10-26,"광주광역시",35.1481359,126.908602,190,"50일이상",4,2019,"토"
"616","광주세계김치축제",2019-05-03,2019-05-04,"광주광역시",35.109095,126.8666047,2,"50일미만",5,2019,"금"
"617","광주세계김치축제",2019-07-12,2019-08-18,"광주광역시",35.109095,126.8666047,38,"50일미만",7,2019,"금"
"618","광주세계김치축제",2019-10-25,2019-10-27,"광주광역시",35.109095,126.8666047,3,"50일미만",10,2019,"금"
"619","억새생태문화제",2019-10-11,2019-10-13,"광주광역시",35.141293,126.828428,3,"50일미만",10,2019,"금"
"620","세계청년축제",2019-07-19,2019-07-21,"광주광역시",35.1483528,126.918715,3,"50일미만",7,2019,"금"
"621","굿모닝 양림",2019-10-19,2019-10-21,"광주광역시",35.141882,126.9118581,3,"50일미만",10,2019,"토"
"622","추억의충장축제",2019-10-02,2019-10-06,"광주광역시",35.1458272,126.9233266,5,"50일미만",10,2019,"수"
"623","2017 물의나라화천 쪽배축제",2017-07-29,2017-08-13,"강원도",38.10072,127.697029,16,"50일미만",7,2017,"토"
"625","명량대첩축제",2019-09-27,2019-09-29,"전라남도",34.57071613,126.3009789,3,"50일미만",9,2019,"금"
"626","남도음식문화큰잔치",2018-10-11,2018-10-13,"전라남도",34.61992371,126.7737305,3,"50일미만",10,2018,"목"
"627","왕방산 국제MTB대회",2019-10-20,2019-10-20,"경기도",37.90083977,127.0704987,1,"1일",10,2019,"일"
"628","2019 제4회 이담농악두드림대축제",2019-06-15,2019-06-15,"경기도",37.90543939,127.0546796,1,"1일",6,2019,"토"
"629","제4회 동두천 국제 트레일러닝 대회",2019-04-20,2019-04-20,"경기도",37.90083977,127.0704987,1,"1일",4,2019,"토"
"630","상패남산축제",2018-09-08,2018-09-08,"경기도",37.90537169,127.0442776,1,"1일",9,2018,"토"
"631","천사마라톤대회",2018-10-03,2018-10-03,"경기도",37.90083977,127.0704987,1,"1일",10,2018,"수"
"632","동두천 청소년 별자리과학 축제",2018-10-13,2018-10-13,"경기도",37.90083977,127.0704987,1,"1일",10,2018,"토"
"633","동두천시 자원봉사 축제",2018-10-20,2018-10-20,"경기도",37.89275541,127.0517461,1,"1일",10,2018,"토"
"634","DDC할로윈클럽데이",2018-10-27,2018-10-28,"경기도",37.91584622,127.0565068,2,"50일미만",10,2018,"토"
"635","크리스마스트리축제",2018-11-03,2018-12-30,"경기도",37.90543939,127.0546796,58,"50일이상",11,2018,"토"
"636","법성포단오제",2019-06-07,2019-06-10,"전라남도",35.36617051,126.4431873,4,"50일미만",6,2019,"금"
"637","불갑산상사화축제",2019-09-18,2019-09-24,"전라남도",35.19967453,126.5500459,7,"50일미만",9,2019,"수"
"638","제16회 추억의 충장축제",2019-10-02,2019-10-06,"광주광역시",35.1461414,126.9230951,5,"50일미만",10,2019,"수"
"639","류방택 별 축제",2016-05-14,2016-05-14,"충청남도",36.7861429,126.4486951,1,"1일",5,2016,"토"
"640","지곡왕산포서산갯마을축제",2016-06-04,2016-06-05,"충청남도",36.8804574,126.3845434,2,"50일미만",6,2016,"토"
"641","팔봉산감자축제",2016-06-18,2016-06-19,"충청남도",36.81761837,126.3662446,2,"50일미만",6,2016,"토"
"642","삼길포우럭독살체험축제",2016-08-04,2016-08-07,"충청남도",37.0010156,126.4515698,4,"50일미만",8,2016,"목"
"643","서산갯마을 뻘낙지축제",2016-10-01,2016-10-03,"충청남도",36.8804574,126.3845434,3,"50일미만",10,2016,"토"
"644","서산해미읍성역사체험축제",2016-10-07,2016-10-09,"충청남도",36.71355717,126.5503842,3,"50일미만",10,2016,"금"
"645","서산시국화축제",2016-10-28,2016-11-06,"충청남도",36.66936247,126.536256,10,"50일미만",10,2016,"금"
"646","간월도어리굴젓수산물한마당",2016-11-11,2016-11-13,"충청남도",36.60375494,126.4110016,3,"50일미만",11,2016,"금"
"648","제43회 남명선비문화축제",2019-10-18,2019-10-19,"경상남도",35.27631899,127.8460504,2,"50일미만",10,2019,"금"
"649","제13회 지리산산청곶감축제",2020-01-02,2020-01-05,"경상남도",35.27427006,127.8363661,4,"50일미만",1,2020,"목"
"650","제19회 산청한방약초축제",2019-09-27,2019-10-09,"경상남도",35.41970199,127.8717919,13,"50일미만",9,2019,"금"
"653","제13회 기산국악제전",2019-09-20,2019-09-21,"경상남도",35.27597812,127.9340313,2,"50일미만",9,2019,"금"
"654","생초국제조각공원 꽃잔디 축제",2019-04-19,2019-05-05,"경상남도",35.49232876,127.8317388,17,"50일미만",4,2019,"금"
"656","세종축제",2019-10-05,2019-10-09,"세종특별자치시",36.49881773,127.270076,5,"50일미만",10,2019,"토"
"657","세종 조치원 복숭아  축제",2019-08-03,2019-08-04,"세종특별자치시",36.5998248,127.287846,2,"50일미만",8,2019,"토"
"658","나라꽃 무궁화 세종축제",2019-08-15,2019-08-16,"세종특별자치시",36.50109974,127.2699735,2,"50일미만",8,2019,"목"
"659","진해군항제",2018-04-01,2018-04-10,"경상남도",35.149423,128.659757,10,"50일미만",4,2018,"일"
"660","진해군악의장페스티벌",2018-04-06,2018-04-08,"경상남도",35.14836103,128.6554537,3,"50일미만",4,2018,"금"
"661","마산가고파국화축제",2018-10-26,2018-11-09,"경상남도",35.186741,128.564277,15,"50일미만",10,2018,"금"
"662","개항제례",2018-05-01,2018-05-01,"경상남도",35.19757501,128.5719112,1,"1일",5,2018,"화"
"663","창원진동불꽃낙화축제",2018-04-15,2018-04-15,"경상남도",35.101556,128.509104,1,"1일",4,2018,"일"
"664","야철제",2018-06-30,2018-06-30,"경상남도",35.223981,128.661676,1,"1일",6,2018,"토"
"665","마산만날제",2018-09-25,2018-09-27,"경상남도",35.178438,128.559,3,"50일미만",9,2018,"화"
"666","남산상봉제",2018-09-29,2018-09-30,"경상남도",35.25928,128.619094,2,"50일미만",9,2018,"토"
"668","동춘당문화제",2019-04-19,2019-04-20,"대전광역시",36.36537889,127.4412933,2,"50일미만",4,2019,"금"
"669","2019 제주들불축제",2019-03-07,2019-03-10,"제주특별자치도",33.3628158,126.3633602,4,"50일미만",3,2019,"목"
"670","2019 제주왕벚꽃축제",2019-03-29,2019-03-31,"제주특별자치도",33.504405,126.519961,3,"50일미만",3,2019,"금"
"671","2019 탐라문화광장 하하페스티벌",2019-06-01,2019-07-13,"제주특별자치도",33.51387018,126.5281155,43,"50일미만",6,2019,"토"
"672","제7회 월대천 축제",2019-07-27,2019-07-28,"제주특별자치도",33.49229666,126.434694,2,"50일미만",7,2019,"토"
"673","제19회 도두오래물축제",2019-08-09,2019-09-11,"제주특별자치도",33.50637959,126.4670599,34,"50일미만",8,2019,"금"
"674","2019 jeju 이호테우축제",2019-08-02,2019-08-04,"제주특별자치도",33.49730322,126.4528866,3,"50일미만",8,2019,"금"
"675","추자도 참굴비 대축제",2019-09-27,2019-09-29,"제주특별자치도",33.96267481,126.2956272,3,"50일미만",9,2019,"금"
"676","제18회삼양검은모래축제",2019-07-26,2019-07-27,"제주특별자치도",33.525989,126.586391,2,"50일미만",7,2019,"금"
"677","제16회 방선문축제",2019-05-04,2019-05-05,"제주특별자치도",33.452853,126.517844,2,"50일미만",5,2019,"토"
"678","누웨마루 페스티벌",2019-09-14,2019-10-05,"제주특별자치도",33.4877384,126.4903398,22,"50일미만",9,2019,"토"
"679","산지천 축제",2019-09-20,2019-09-22,"제주특별자치도",33.5141252,126.5278575,3,"50일미만",9,2019,"금"
"680","아트제주2019",2019-11-28,2019-12-01,"제주특별자치도",33.4847577,126.4887056,4,"50일미만",11,2019,"목"
"681","서울약령시 한방문화축제",2019-10-11,2019-10-12,"서울특별시",37.58152253,127.0377329,2,"50일미만",10,2019,"금"
"685","성주생명문화축제 성주참외페스티벌",2019-05-16,2019-05-19,"경상북도",35.91576102,128.2800492,4,"50일미만",5,2019,"목"
"686","제32회 함안아라문화제",2019-04-26,2019-04-28,"경상남도",35.28326216,128.4001528,3,"50일미만",4,2019,"금"
"687","무술년 삼칠민속줄다리기",2019-03-29,2019-03-30,"경상남도",35.30883803,128.5185567,2,"50일미만",3,2019,"금"
"688","제28회 함안낙화놀이",2019-05-12,2019-05-12,"경상남도",35.25542023,128.4227474,1,"1일",5,2019,"일"
"689","들노래축제",2019-06-15,2019-06-16,"충청북도",36.7638867,127.5955697,2,"50일미만",6,2019,"토"
"690","인삼골축제",2019-10-03,2019-10-06,"충청북도",36.78700527,127.5760466,4,"50일미만",10,2019,"목"
"691","제5회 광산구 세계음식문화축제",2017-05-21,2017-05-21,"광주광역시",35.1880553,126.8201971,1,"1일",5,2017,"일"
"692","광산우리밀축제",2017-05-26,2017-05-28,"광주광역시",35.1631672,126.7399623,3,"50일미만",5,2017,"금"
"693","첨단1동 마을축제",2017-10-14,2017-10-14,"광주광역시",35.222211,126.8443276,1,"1일",10,2017,"토"
"694","제2회 비아마을 큰잔치",2017-10-21,2017-10-21,"광주광역시",35.2210952,126.8244895,1,"1일",10,2017,"토"
"695","제2회 하남동 도농공 한울타리 어울림축제",2017-10-28,2017-10-28,"광주광역시",35.178175,126.7999659,1,"1일",10,2017,"토"
"696","신창동 어울림축제",2017-10-28,2017-10-28,"광주광역시",35.1956384,126.840969,1,"1일",10,2017,"토"
"697","2019컬러풀대구페스티벌",2019-05-04,2019-05-05,"대구광역시",35.87155388,128.60122,2,"50일미만",5,2019,"토"
"698","대구국제재즈축제",2019-09-19,2019-09-21,"대구광역시",35.8579242,128.5906996,3,"50일미만",9,2019,"목"
"699","대구국제오페라축제",2019-09-13,2019-10-20,"대구광역시",35.8834639,128.5922335,38,"50일미만",9,2019,"금"
"700","대구국제뮤지컬페스티벌",2019-06-21,2019-07-08,"대구광역시",35.88368816,128.5959763,18,"50일미만",6,2019,"금"
"701","동아시아보자기페스티벌",2019-09-28,2019-09-29,"대구광역시",35.88368816,128.5959763,2,"50일미만",9,2019,"토"
"702","형형색색달구벌관등놀이",2019-04-27,2019-05-06,"대구광역시",35.85619572,128.5897529,10,"50일미만",4,2019,"토"
"703","대구약령시한방문화축제",2019-05-02,2019-05-06,"대구광역시",35.86851768,128.5899105,5,"50일미만",5,2019,"목"
"704","대구포크페스티벌",2019-07-26,2019-07-28,"대구광역시",35.87142055,128.6248352,3,"50일미만",7,2019,"금"
"705","대구치맥페스티벌",2019-07-17,2019-07-21,"대구광역시",35.85074648,128.5616534,5,"50일미만",7,2019,"수"
"706","대구국제호러페스티벌",2019-08-02,2019-08-05,"대구광역시",35.82976978,128.690163,4,"50일미만",8,2019,"금"
"707","국제보디페인팅축제",2019-08-24,2019-08-25,"대구광역시",35.85086313,128.5576665,2,"50일미만",8,2019,"토"
"708","대구국제패션문화페스티벌",2019-10-12,2019-10-14,"대구광역시",35.88368816,128.5959763,3,"50일미만",10,2019,"토"
"709","팔공산 산중전통장터 승시",2019-10-05,2019-10-08,"대구광역시",35.98450098,128.6987706,4,"50일미만",10,2019,"토"
"710","대구 글로벌게임문화축제 e-Fun",2019-08-31,2019-09-01,"대구광역시",35.83541672,128.6817838,2,"50일미만",8,2019,"토"
"711","둔내고랭지토마토축제",2019-08-09,2019-08-11,"강원도",37.51241014,128.2185782,3,"50일미만",8,2019,"금"
"712","횡성더덕축제",2019-08-30,2019-09-01,"강원도",37.58392059,128.1502908,3,"50일미만",8,2019,"금"
"713","안흥찐빵축제",2019-09-27,2019-09-29,"강원도",37.41281125,128.1561222,3,"50일미만",9,2019,"금"
"714","횡성한우축제",2019-10-02,2019-10-06,"강원도",37.48821277,127.9736494,5,"50일미만",10,2019,"수"
"719","달집태우기",2019-02-19,2019-02-19,"대구광역시",35.8712637,128.6730181,1,"1일",2,2019,"화"
"720","상화문학제",2019-05-24,2019-05-26,"대구광역시",35.8268576,128.6128683,3,"50일미만",5,2019,"금"
"721","고모령 효예술제",2019-08-02,2019-08-02,"대구광역시",35.83165878,128.687326,1,"1일",8,2019,"금"
"722","수성못 페스티벌",2019-09-27,2019-09-29,"대구광역시",35.8292435,128.6209285,3,"50일미만",9,2019,"금"
"723","수성 건강 축제",2019-08-02,2019-08-03,"대구광역시",35.83165878,128.687326,2,"50일미만",8,2019,"금"
"724","와룡문화제",2019-04-26,2019-04-28,"경상남도",35.00361954,128.0642075,3,"50일미만",4,2019,"금"
"725","제12회 사천시농업한마당축제",2019-10-18,2019-10-20,"경상남도",35.00361954,128.0642075,3,"50일미만",10,2019,"금"
"726","김수환추기경 사랑과 나눔 문화축전",2019-06-15,2019-06-15,"경상북도",36.24300229,128.5728833,1,"1일",6,2019,"토"
"727","조선통신사 축제",2019-05-03,2019-05-06,"부산광역시",35.09953937,129.0311369,4,"50일미만",5,2019,"금"
"728","광복로연등문화제",2019-04-26,2019-05-15,"부산광역시",35.09895705,129.0334032,20,"50일미만",4,2019,"금"
"729","보수동책방골목문화축제",2019-10-01,2019-10-31,"부산광역시",35.10362715,129.0261809,31,"50일미만",10,2019,"화"
"730","부산국제영화제 전야제",2019-10-02,2019-10-02,"부산광역시",35.09862035,129.0287588,1,"1일",10,2019,"수"
"731","부산자갈치축제",2019-10-10,2019-10-13,"부산광역시",35.0966394,129.0305933,4,"50일미만",10,2019,"목"
"732","영도다리 만남의 축제",2019-11-01,2019-11-30,"부산광역시",35.0984232,129.0368573,30,"50일미만",11,2019,"금"
"733","부산크리스마스트리문화축제",2019-11-16,2020-01-05,"부산광역시",35.0995432,129.0315084,51,"50일이상",11,2019,"토"
"734","세계 민속춤 축제",2018-09-11,2018-09-12,"서울특별시",37.561842,127.036664,2,"50일미만",9,2018,"화"
"735","태조 이성계 축제",2018-10-19,2018-10-20,"서울특별시",37.554368,127.049411,2,"50일미만",10,2018,"금"
"736","응봉산 해맞이축제",2019-01-01,2019-01-01,"서울특별시",37.548551,127.030821,1,"1일",1,2019,"화"
"737","응봉산 개나리축체",2019-03-29,2019-03-31,"서울특별시",37.548551,127.030821,3,"50일미만",3,2019,"금"
"740","2019 오륙도 평화축제",2019-10-19,2019-10-20,"부산광역시",35.12625953,129.1003507,2,"50일미만",10,2019,"토"
"741","담양대나무축제",2019-05-01,2019-05-06,"전라남도",35.32121077,126.9881755,6,"50일미만",5,2019,"수"
"742","담양산타축제",2019-12-13,2019-12-31,"전라남도",35.32121077,126.9881755,19,"50일미만",12,2019,"금"
"744","창평전통음식문화축제",2020-10-26,2020-10-28,"전라남도",35.23525084,127.0178938,3,"50일미만",10,2020,"월"
"745","가로수사랑음악회",2019-11-03,2019-11-03,"전라남도",35.3161579,126.9840291,1,"1일",11,2019,"일"
"746","고서포도축제",2019-07-20,2019-07-21,"전라남도",35.22370105,126.9729391,2,"50일미만",7,2019,"토"
